#SampleID	Plate	Well	Species	Age	Sample	Colony	Year
BLANK_10-8	10	D12	BLANK	NA	BLANK	NA	2019
COTE_SEA_CH_2019_142	10	E12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_143	10	F12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_146	10	G12	COTE	CHICK	SAMPLE	SEAVEY	2019
PCR_BLANK_10-2	10	H12	BLANK	NA	BLANK	NA	2019
MOCK_11-1	11	A1	MOCK	NA	MOCK	NA	2019
PCR_BLANK_11-1	11	B1	BLANK	NA	BLANK	NA	2019
COTE_MON_AD_2019_001	11	C1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_002	11	D1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_003	11	E1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_004	11	F1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_CH_2019_059	11	G1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_060	11	H1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_061	11	A2	COTE	CHICK	SAMPLE	MON	2019
BLANK_11-2	11	B2	BLANK	NA	BLANK	NA	2019
COTE_MON_CH_2019_062	11	C2	COTE	CHICK	SAMPLE	MON	2019
COTE_PON_AD_2019_017	11	D2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_018	11	E2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_019	11	F2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_020	11	G2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_CH_2019_068	11	H2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_069	11	A3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_070	11	B3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_071	11	C3	COTE	CHICK	SAMPLE	POND	2019
COTE_PMI_AD_2019_083	11	D3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_090	11	E3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_091	11	F3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_099	11	G3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_CH_2019_045	11	H3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_009	11	A4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_039	11	B4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_065	11	C4	COTE	CHICK	SAMPLE	PMI	2019
BLANK_11-3	11	D4	BLANK	NA	BLANK	NA	2019
COTE_SHI_AD_2019_025	11	E4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_027	11	F4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_028	11	G4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_029	11	H4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_072	11	A5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_074	11	B5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_075	11	C5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_080	11	D5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_MET_CH_2019_129	11	E5	COTE	CHICK	SAMPLE	MET	2019
COTE_OGI_AD_2019_021	11	F5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_022	11	G5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_023	11	H5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_024	11	A6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_CH_2019_058	11	B6	COTE	CHICK	SAMPLE	OGI	2019
COTE_OGI_CH_2019_059	11	C6	COTE	CHICK	SAMPLE	OGI	2019
COTE_JEN_AD_2019_017	11	D6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_018	11	E6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_019	11	F6	COTE	ADULT	SAMPLE	JENNY	2019
BLANK_11-4	11	G6	BLANK	NA	BLANK	NA	2019
COTE_JEN_AD_2019_020	11	H6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_053	11	A7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_054	11	B7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_055	11	C7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_058	11	D7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_STI_AD_2019_022	11	E7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_023	11	F7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_024	11	G7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_025	11	H7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_CH_2019_067	11	A8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_068	11	B8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_069	11	C8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_071	11	D8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_EGG_AD_2019_021	11	E8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_022	11	F8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_023	11	G8	COTE	ADULT	SAMPLE	EGG	2019
BLANK_11-5	11	H8	BLANK	NA	BLANK	NA	2019
BLANK_11-6	11	A9	BLANK	NA	BLANK	NA	2019
COTE_EGG_AD_2019_024	11	B9	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_CH_2019_060	11	C9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_061	11	D9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_062	11	E9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_063	11	F9	COTE	CHICK	SAMPLE	EGG	2019
COTE_SIN_AD_2019_048	11	G9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_049	11	H9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_050	11	A10	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_051	11	B10	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_058	11	C10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_059	11	D10	COTE	CHICK	SAMPLE	SINWR	2019
BLANK_11-7	11	E10	BLANK	NA	BLANK	NA	2019
COTE_SIN_CH_2019_063	11	F10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SEA_AD_2019_013	11	G10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_014	11	H10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_015	11	A11	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_016	11	B11	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_147	11	C11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_149	11	D11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_150	11	E11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_151	11	F11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_152	11	G11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_153	11	H11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_154	11	A12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_155	11	B12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_156	11	C12	COTE	CHICK	SAMPLE	SEAVEY	2019
BLANK_11-8	11	D12	BLANK	NA	BLANK	NA	2019
COTE_SEA_CH_2019_158	11	E12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_159	11	F12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_160	11	G12	COTE	CHICK	SAMPLE	SEAVEY	2019
PCR_BLANK_11-2	11	H12	BLANK	NA	BLANK	NA	2019
MOCK_12-1	12	A1	MOCK	NA	MOCK	NA	2019
PCR_BLANK_12-1	12	B1	BLANK	NA	BLANK	NA	2019
COTE_MON_AD_2019_005	12	C1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_006	12	D1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_013	12	E1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_019	12	F1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_CH_2019_063	12	G1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_064	12	H1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_065	12	A2	COTE	CHICK	SAMPLE	MON	2019
BLANK_12-2	12	B2	BLANK	NA	BLANK	NA	2019
COTE_MON_CH_2019_066	12	C2	COTE	CHICK	SAMPLE	MON	2019
COTE_PON_AD_2019_050	12	D2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_051	12	E2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_054	12	F2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_057	12	G2	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_CH_2019_072	12	H2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_073	12	A3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_074	12	B3	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_075	12	C3	COTE	CHICK	SAMPLE	POND	2019
COTE_PMI_AD_2019_103	12	D3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_106	12	E3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_108	12	F3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_111	12	G3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_CH_2019_071	12	H3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_017	12	A4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_011	12	B4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_058	12	C4	COTE	CHICK	SAMPLE	PMI	2019
BLANK_12-3	12	D4	BLANK	NA	BLANK	NA	2019
COTE_SHI_AD_2019_031	12	E4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_032	12	F4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_033	12	G4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_034	12	H4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_093	12	A5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_094	12	B5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_096	12	C5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_099	12	D5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_MET_CH_2019_135	12	E5	COTE	CHICK	SAMPLE	MET	2019
COTE_OGI_AD_2019_025	12	F5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_026	12	G5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_027	12	H5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_028	12	A6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_CH_2019_061	12	B6	COTE	CHICK	SAMPLE	OGI	2019
COTE_OGI_CH_2019_065	12	C6	COTE	CHICK	SAMPLE	OGI	2019
COTE_JEN_AD_2019_027	12	D6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_034	12	E6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_056	12	F6	COTE	ADULT	SAMPLE	JENNY	2019
BLANK_12-4	12	G6	BLANK	NA	BLANK	NA	2019
COTE_JEN_AD_2019_057	12	H6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_061	12	A7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_062	12	B7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_064	12	C7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_070	12	D7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_STI_AD_2019_027	12	E7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_028	12	F7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_029	12	G7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_031	12	H7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_CH_2019_072	12	A8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_073	12	B8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_074	12	C8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_075	12	D8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_EGG_AD_2019_033	12	E8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_037	12	F8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_038	12	G8	COTE	ADULT	SAMPLE	EGG	2019
BLANK_12-5	12	H8	BLANK	NA	BLANK	NA	2019
BLANK_12-6	12	A9	BLANK	NA	BLANK	NA	2019
COTE_EGG_AD_2019_039	12	B9	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_CH_2019_074	12	C9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_075	12	D9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_076	12	E9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_077	12	F9	COTE	CHICK	SAMPLE	EGG	2019
COTE_SIN_AD_2019_052	12	G9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_053	12	H9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_054	12	A10	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_055	12	B10	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_066	12	C10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_062	12	D10	COTE	CHICK	SAMPLE	SINWR	2019
BLANK_12-7	12	E10	BLANK	NA	BLANK	NA	2019
COTE_SIN_CH_2019_065	12	F10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SEA_AD_2019_053	12	G10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_054	12	H10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_055	12	A11	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_056	12	B11	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_161	12	C11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_162	12	D11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_163	12	E11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_164	12	F11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_165	12	G11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_166	12	H11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_167	12	A12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_168	12	B12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_170	12	C12	COTE	CHICK	SAMPLE	SEAVEY	2019
BLANK_12-8	12	D12	BLANK	NA	BLANK	NA	2019
COTE_SEA_CH_2019_171	12	E12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_172	12	F12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_173	12	G12	COTE	CHICK	SAMPLE	SEAVEY	2019
PCR_BLANK_12-2	12	H12	BLANK	NA	BLANK	NA	2019
MOCK_13-1	13	A1	MOCK	NA	MOCK	NA	2019
PCR_BLANK_13-1	13	B1	BLANK	NA	BLANK	NA	2019
COTE_MON_AD_2019_102	13	C1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_104	13	D1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_105	13	E1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_106	13	F1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_107	13	G1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_CH_2019_067	13	H1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_068	13	A2	COTE	CHICK	SAMPLE	MON	2019
BLANK_13-1	13	B2	BLANK	NA	BLANK	NA	2019
COTE_MON_CH_2019_069	13	C2	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_070	13	D2	COTE	CHICK	SAMPLE	MON	2019
COTE_PON_CH_2019_077	13	E2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_078	13	F2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_079	13	G2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_080	13	H2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_AD_2019_058	13	A3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_059	13	B3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_060	13	C3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_061	13	D3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_062	13	E3	COTE	ADULT	SAMPLE	POND	2019
COTE_PMI_AD_2019_117	13	F3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_120	13	G3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_122	13	H3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_CH_2019_082	13	A4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_114	13	B4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_104	13	C4	COTE	CHICK	SAMPLE	PMI	2019
BLANK_13-2	13	D4	BLANK	NA	BLANK	NA	2019
COTE_PMI_CH_2019_113	13	E4	COTE	CHICK	SAMPLE	PMI	2019
COTE_SHI_AD_2019_035	13	F4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_037	13	G4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_039	13	H4	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_AD_2019_041	13	A5	COTE	ADULT	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_103	13	B5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_105	13	C5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_106	13	D5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_SHI_CH_2019_107	13	E5	COTE	CHICK	SAMPLE	SHIP	2019
COTE_OGI_AD_2019_033	13	F5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_034	13	G5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_036	13	H5	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_042	13	A6	COTE	ADULT	SAMPLE	OGI	2019
COTE_OGI_AD_2019_045	13	B6	COTE	ADULT	SAMPLE	OGI	2019
COTE_JEN_AD_2019_066	13	C6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_067	13	D6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_069	13	E6	COTE	ADULT	SAMPLE	JENNY	2019
COTE_JEN_AD_2019_075	13	F6	COTE	ADULT	SAMPLE	JENNY	2019
BLANK_13-3	13	G6	BLANK	NA	BLANK	NA	2019
COTE_JEN_CH_2019_071	13	H6	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_072	13	A7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_073	13	B7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_JEN_CH_2019_074	13	C7	COTE	CHICK	SAMPLE	JENNY	2019
COTE_STI_AD_2019_38	13	D7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_39	13	E7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_41	13	F7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_AD_2019_42	13	G7	COTE	ADULT	SAMPLE	STRAT	2019
COTE_STI_CH_2019_076	13	H7	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_077	13	A8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_078	13	B8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_STI_CH_2019_079	13	C8	COTE	CHICK	SAMPLE	STRAT	2019
COTE_EGG_AD_2019_040	13	D8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_043	13	E8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_046	13	F8	COTE	ADULT	SAMPLE	EGG	2019
COTE_EGG_AD_2019_047	13	G8	COTE	ADULT	SAMPLE	EGG	2019
BLANK_13-4	13	H8	BLANK	NA	BLANK	NA	2019
BLANK_13-5	13	A9	BLANK	NA	BLANK	NA	2019
COTE_EGG_CH_2019_078	13	B9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_079	13	C9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_080	13	D9	COTE	CHICK	SAMPLE	EGG	2019
COTE_EGG_CH_2019_081	13	E9	COTE	CHICK	SAMPLE	EGG	2019
COTE_SIN_AD_2019_056	13	F9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_064	13	G9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_AD_2019_061	13	H9	COTE	ADULT	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_060	13	A10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SIN_CH_2019_069	13	B10	COTE	CHICK	SAMPLE	SINWR	2019
COTE_SEA_AD_2019_057	13	C10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_058	13	D10	COTE	ADULT	SAMPLE	SEAVEY	2019
BLANK_13-6	13	E10	BLANK	NA	BLANK	NA	2019
COTE_SEA_AD_2019_059	13	F10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_060	13	G10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_AD_2019_094	13	H10	COTE	ADULT	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_174	13	A11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_175	13	B11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_176	13	C11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_177	13	D11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_178	13	E11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_180	13	F11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_181	13	G11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_182	13	H11	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_183	13	A12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_184	13	B12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_185	13	C12	COTE	CHICK	SAMPLE	SEAVEY	2019
BLANK_13-7	13	D12	BLANK	NA	BLANK	NA	2019
COTE_SEA_CH_2019_186	13	E12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_187	13	F12	COTE	CHICK	SAMPLE	SEAVEY	2019
COTE_SEA_CH_2019_203	13	G12	COTE	CHICK	SAMPLE	SEAVEY	2019
PCR_BLANK_13-2	13	H12	BLANK	NA	BLANK	NA	2019
MOCK_14-1	14	A1	MOCK	NA	MOCK	NA	2019
PCR_BLANK_14-1	14	B1	BLANK	NA	BLANK	NA	2019
COTE_MON_AD_2019_117	14	C1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_118	14	D1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_119	14	E1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_120	14	F1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_AD_2019_121	14	G1	COTE	ADULT	SAMPLE	MON	2019
COTE_MON_CH_2019_071	14	H1	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_072	14	A2	COTE	CHICK	SAMPLE	MON	2019
BLANK_14-1	14	B2	BLANK	NA	BLANK	NA	2019
COTE_MON_CH_2019_073	14	C2	COTE	CHICK	SAMPLE	MON	2019
COTE_MON_CH_2019_074	14	D2	COTE	CHICK	SAMPLE	MON	2019
COTE_PON_CH_2019_081	14	E2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_082	14	F2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_093	14	G2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_CH_2019_094	14	H2	COTE	CHICK	SAMPLE	POND	2019
COTE_PON_AD_2019_063	14	A3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_064	14	B3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_076	14	C3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_083	14	D3	COTE	ADULT	SAMPLE	POND	2019
COTE_PON_AD_2019_084	14	E3	COTE	ADULT	SAMPLE	POND	2019
COTE_PMI_AD_2019_161	14	F3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_AD_2019_175	14	G3	COTE	ADULT	SAMPLE	PMI	2019
COTE_PMI_CH_2019_112	14	H3	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_102	14	A4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_110	14	B4	COTE	CHICK	SAMPLE	PMI	2019
COTE_PMI_CH_2019_119	14	C4	COTE	CHICK	SAMPLE	PMI	2019
BLANK_14-2	14	D4	BLANK	NA	BLANK	NA	2019
COTE_PMI_CH_2019_174	14	E4	COTE	CHICK	SAMPLE	PMI	2019
COTE_SHI_AD_2019_042	14	F4	COTE	ADULT	SAMPLE	SHIP	2019
